Fiscal Date,Estimated EPS,Reported EPS
2024-03-31,2.44,2.51
2023-12-31,2.28,2.29
2023-09-30,2.52,2.66
2023-06-30,2.62,2.8
2023-03-31,2.5,2.68
2022-12-31,2.23,2.35
2022-09-30,2.47,2.55
2022-06-30,2.54,2.59
2022-03-31,2.56,2.67
2021-12-31,2.12,2.13
2021-09-30,2.35,2.6
2021-06-30,2.27,2.48
2021-03-31,2.34,2.59
2020-12-31,1.82,1.86
2020-09-30,1.98,2.2
2020-06-30,1.49,1.67
2020-03-31,2,2.3
2019-12-31,1.87,1.88
2019-09-30,2.01,2.12
2019-06-30,2.46,2.58
2019-03-31,2.03,2.1
2018-12-31,1.95,1.97
2018-09-30,2.03,2.05
2018-06-30,2.07,2.1
2018-03-31,2.02,2.06
2017-12-31,1.72,1.74
2017-09-30,1.8,1.9
2017-06-30,1.8,1.83
2017-03-31,1.77,1.83
2016-12-31,1.56,1.58
2016-09-30,1.66,1.68
2016-06-30,1.68,1.74
2016-03-31,1.65,1.68
2015-12-31,1.42,1.44
2015-09-30,1.45,1.49
2015-06-30,1.67,1.71
2015-03-31,1.54,1.56
2014-12-31,1.26,1.27
2014-09-30,1.45,1.5
2014-06-30,1.55,1.66
2014-03-31,1.48,1.54
2013-12-31,1.2,1.24
2013-09-30,1.32,1.36
2013-06-30,1.39,1.48
2013-03-31,1.4,1.44
2012-12-31,1.17,1.19
2012-09-30,1.21,1.25
2012-06-30,1.29,1.3
2012-03-31,1.35,1.37
2011-12-31,1.09,1.13
2011-09-30,1.21,1.24
2011-06-30,1.24,1.28
2011-03-31,1.26,1.35
2010-12-31,1.03,1.03
2010-09-30,1.15,1.23
2010-06-30,1.21,1.21
2010-03-31,1.27,1.29
2009-12-31,0.97,1.02
2009-09-30,1.13,1.2
2009-06-30,1.12,1.15
2009-03-31,1.22,1.26
2008-12-31,0.92,0.94
2008-09-30,1.11,1.17
2008-06-30,1.12,1.18
2008-03-31,1.2,1.26
2007-12-31,0.86,0.88
2007-09-30,0.99,1.06
2007-06-30,1,1.05
2007-03-31,1.05,1.16
2006-12-31,0.79,0.81
2006-09-30,0.93,0.98
2006-06-30,0.97,0.98
2006-03-31,0.98,0.99
2005-12-31,0.73,0.73
2005-09-30,0.86,0.87
2005-06-30,0.91,0.93
2005-03-31,0.92,0.97
2004-12-31,0.64,0.67
2004-09-30,0.76,0.78
2004-06-30,0.79,0.82
2004-03-31,0.8,0.83
2003-12-31,0.56,0.57
2003-09-30,0.68,0.69
2003-06-30,0.69,0.7
2003-03-31,0.68,0.69
2002-12-31,0.47,0.46
2002-09-30,0.59,0.57
2002-06-30,0.58,0.6
2002-03-31,0.58,0.59
2001-12-31,0.39,0.39
2001-09-30,0.48,0.5
2001-06-30,0.53,0.51
2001-03-31,0.52,0.5
2000-12-31,0.32,0.33
2000-09-30,0.44,0.45
2000-06-30,0.46,0.47
2000-03-31,0.45,0.47
1999-12-31,0.28,0.28
1999-09-30,0.39,0.4
1999-06-30,0.41,0.42
1999-03-31,0.4,0.41
1998-12-31,0.25,0.25
1998-09-30,0.35,0.35
1998-06-30,0.37,0.38
1998-03-31,0.37,0.37
1997-12-31,0.23,0.24
1997-09-30,0.32,0.32
1997-06-30,0.34,0.34
1997-03-31,0.34,0.34
1996-12-31,0.21,0.21
1996-09-30,0.28,0.28
1996-06-30,0.29,0.3
1996-03-31,0.29,0.3
